ICB22NM,DDDs
NHS Cambridgeshire and Peterborough Integrated Care Board,442
NHS Coventry and Warwickshire Integrated Care Board,907.5
NHS Greater Manchester Integrated Care Board,474.5
NHS Humber and North Yorkshire Integrated Care Board,2427
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",6002
NHS North East and North Cumbria Integrated Care Board,1628
NHS Surrey Heartlands Integrated Care Board,198
NHS Sussex Integrated Care Board,56
NHS West Yorkshire Integrated Care Board,1666
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",0
NHS Black Country Integrated Care Board,0
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",0
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",0
NHS Cheshire and Merseyside Integrated Care Board,0
NHS Devon Integrated Care Board,0
NHS Dorset Integrated Care Board,0
NHS Gloucestershire Integrated Care Board,0
NHS Herefordshire and Worcestershire Integrated Care Board,0
NHS Kent and Medway Integrated Care Board,0
NHS Lancashire and South Cumbria Integrated Care Board,0
NHS Lincolnshire Integrated Care Board,0
NHS Norfolk and Waveney Integrated Care Board,0
NHS North East London Integrated Care Board,0
NHS Hampshire and the Isle of Wight Integrated Care Board,0
NHS Hertfordshire and West Essex Integrated Care Board,0
NHS North Central London Integrated Care Board,0
"NHS Shropshire, Telford and Wrekin Integrated Care Board",0
NHS Somerset Integrated Care Board,0
NHS South West London Integrated Care Board,0
NHS Nottingham and Nottinghamshire Integrated Care Board,0
NHS South East London Integrated Care Board,0
NHS South Yorkshire Integrated Care Board,0
NHS Suffolk and North East Essex Integrated Care Board,0
NHS Birmingham and Solihull Integrated Care Board,0
NHS Cornwall and the Isles of Scilly Integrated Care Board,0
NHS Frimley Integrated Care Board,0
NHS North West London Integrated Care Board,0
NHS Northamptonshire Integrated Care Board,0
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,0
NHS Mid and South Essex Integrated Care Board,0
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",0
NHS Derby and Derbyshire Integrated Care Board,0
